Entidad federal,Superficie km²,Población est.,Densidad(hab./km²),Latitud,Longitud
Zulia,63 100,4 957 765,78.56,10.10650995,-71.86413071674784
Miranda,7950,3 739 845,470.42,10.322868750000001,-66.49588213785867
Carabobo,4650,2 886 093,620.66,10.215104499999999,-68.04080244083781
Distrito Capital,433,2 277 972,5260.9,-25.3042318,-57.6149682
Lara,19 800,2 234 763,121.86,10.07107015,-70.0217466512353
Aragua,7014,2 228 130,317.71,9.92019985,-66.88746940104221
AnzoÃ¡tegui,43 300,2 103 856,48.58,9.019792500000001,-64.21680012328406
BolÃ­var,240 528,2 069 064,8.6,-1.5392733,-79.0816505
TÃ¡chira,11 100,1 376 292,123.99,8.0218732,-72.02106438566052
FalcÃ³n,24 800,1 137 324,45.85,11.273945999999999,-69.58342053907381
Sucre,11 800,1 117 917,94.73,-19.0477251,-65.2594306
Monagas,28 930,1 112 541,38.45,9.3437846,-63.15893178927453
Portuguesa,15 200,1 078 934,70.98,8.9676238,-69.39168843429978
Barinas,35 200,1 063 351,30.2,8.17439185,-69.97577171352697
MÃ©rida,11 300,1 018 219,90.1,38.9174665,-6.3443977
GuÃ¡rico,64 986,956 951,14.72,8.8378757,-66.42032810625943
Trujillo,7400,893 785,"120,78",39.4605657,-5.8816626
Yaracuy,7100,785 125,110.58,10.30403115,-68.70140176634918
Nueva Esparta,1150,606 247,527.17,10.9645415,-64.09754466198463
Apure,76 500,603 295,7.88,7.0745488000000005,-68.81983739839998
Cojedes,14 800,502 107,33.92,9.30937685,-68.35900010419951
La Guaira,1497,448 894,299.86,10.6000384,-66.9296405
Delta Amacuro,40 200,240 268,5.97,8.937538400000001,-61.339565785356825
Amazonas,177 617,189 524,1.06,-4.479925,-63.5185396
Dependencias Federales,342,65002â,19,11.859254100000001,-66.7707980671899
