Sector,Obra,Status,Ejecución física %,Ejecución financiera %,Estado,Municipio,Dirección,Personas afectadas,Ente responsable,Funcionario responsable,Empresa contratista,Valor total de la obra USD (millones),Obra financiada por FONDEN,Monto comprometido USD (millones),Fecha estimada de inicio,Fecha real de inicio,Fecha culminación estimada de la obra,Fecha de paralización,Latitud,Longitud
Transporte,AEROPUERTO INTERNACIONAL DE BARINAS,Paralizada,0.0,0.0,Estado Barinas,Cruz Paredes,"Sector Tinajas- ChorrerÃ³n, CaserÃ­o ChorreÃ³n, a un km de la autopista JosÃ© Antonio PÃ¡ez",MÃ¡s de 1.000.001,Ministerio de Infraestructura,Isidro RondÃ³n,Consorcio de Vialidad Sucre y Alba Bolivariana (Convialba),700.0,Si,46.0,2008.0,S/I,2011 - 2013,S/I,8.8841985,-70.26112074407582
Transporte,AMPLIACIÃN Y MEJORAS DEL AEROPUERTO JACINTO LARA,Paralizada,30.0,0.0,Estado Lara,Iribarren,"2JWR+C6F, Avenida La Landaeta, Barquisimeto 3001",MÃ¡s de 1.000.001,Bolivariana de Aeropuertos S.A. (BAER) / Ministerio de Transporte AcuÃ¡tico y AÃ©reo,Alcides Montilla MarÃ­n,S/I,465.0,S/I,0.0,2014.0,2014,2016,S/I,10.1232167,-69.40874859322726
Transporte,ASTILLERO NAVAL NORORIENTAL Â«ASTIALBAÂ»,Paralizada,18.81,0.0,Estado Sucre,Cruz SalmerÃ³n Acosta,PenÃ­nsula de Araya,Entre 100.001 y 1.000.000,S/I,S/I,Andrade GutiÃ©rrez C.A.,1290.0,S/I,0.0,2005.0,S/I,2015,S/I,10.60596895,-64.0074263896344
Transporte,CONSTRUCCIÃN DE LÃNEA 2 DEL METRO DE MARACAIBO,Con recursos desembolsados - no iniciada,0.0,0.0,Estado Zulia,Maracaibo/ San Francisco,LÃ­nea 2: Recorrido desde el este hacia el oeste de la ciudad.,Entre 5.001 y 100.000,"Metro de Maracaibo, C.A. / Ministerio de Transporte Terrestre",Haiman El Troudi,S/I,0.0,Si,252.0,,S/I,"Tentativamente, en 2015 (proyecto original de la L2).",S/I,10.5388269,-71.6416717
Transporte,FERROCARRIL PUERTO CABELLO â BARQUISIMETO (REHABILITACIÃN),Con recursos desembolsados - no iniciada,85.0,0.0,Estado Carabobo,Puerto Cabello/ Iribarren,S/I,MÃ¡s de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),S/I,Yankuang Group Corporation LTD/ Ferroviaria Latinoamericana (Ferrolasa),0.0,Si,268.0,2004.0,S/I,2008,S/I,10.47306,-68.0125
Transporte,"FERROCARRIL CENTRO-SUR, TRAMO CHAGUARAMAS, LAS MERCEDES DEL LLANO, CABRUTA",Paralizada,20.83,0.0,Estado GuÃ¡rico,Chaguaramas/ Las Mercedes del Llano,"Estaciones: Chaguaramas, Las Mercedes, El Mejo, Santa Rita, Arrecife y Cabruta",Entre 100.001 y 1.000.000,Instituto de Ferrocarriles del Estado (IFE),Franklin PÃ©rez,Consorcio Grupo Contuy / Astaldi S.P.A / Ghella Spa Sucursal Venezuela,750.0,S/I,0.0,2008.0,S/I,2013,S/I,9.201203,-66.316468
Transporte,"FERROCARRIL CENTRO-SUR, TRAMO SAN JUAN DE LOS MORROS, DOS CAMINOS, CALABOZO, SAN FERNANDO DE APURE",Paralizada,17.25,0.0,Estado Apure,San Fernando de Apure/ San Juan de los Morros/ Dos Caminos/ Calabozo,San Fernando de Apure,MÃ¡s de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),Franklin PÃ©rez,Consorcio Grupo Contuy / Astaldi S.P.A / Ghella Spa Sucursal Venezuela,1500.0,Si,291.0,2008.0,S/I,2013,S/I,7.88782,-67.47236
Transporte,FERROCARRIL NORTE LLANERO EMILIO ARÃVALO CEDEÃO,Paralizada,28.67,0.0,Estado AnzoÃ¡tegui,Aragua de Barcelona/ Anaco/ Valle de la Pascua/ Tinaco/ El Pao/ Dos Caminos/ El Sombrero/ Tucupido/ Zaraza/ Chaguaramas,,MÃ¡s de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),Franklin PÃ©rez,China Railway International Group (CREC) /China Railway Engineering Corporation / China Railway Engineering Corporation Venezuela,8084.0,S/I,0.0,2009.0,S/I,2012,S/I,9.45588,-64.82928
Transporte,LÃNEA 2 METRO DE VALENCIA,Paralizada,47.0,0.0,Estado Carabobo,Valencia,Av. BolÃ­var norte,Entre 5.001 y 100.000,Ministerio de Transporte Terrestre,Haiman El Troudi,Consorcio Ghella Sogene Dragados FCC - Otipsa,9218.0,Si,194.0,2007.0,Octubre 2011,S/I,2017,10.170026,-68.0003987
Transporte,METRO CARACAS- GUARENAS- GUATIRE 1,Paralizada,26.7,56.99,Estado Miranda,Ambrosio Plaza/ Zambrano,Guarenas-Guatire,Entre 100.001 y 1.000.000,"Metro de Caracas, C.A.",Gustavo GonzÃ¡lez LÃ³pez,"Constructora Norberto Odebrecht, C.A.",4915.0,Si,692.0,2007.0,16/03/2007,1era 31/12/ 2013 / 2da Sin informaciÃ³n / 3er 05/11/2019,S/I,10.47027,-66.61934
