Sector,Obra,Status,Ejecución física %,Ejecución financiera %,Estado,Municipio,Dirección,Personas afectadas,Ente responsable,Funcionario responsable,Empresa contratista,Valor total de la obra USD (millones),Obra financiada por FONDEN,Monto comprometido USD (millones),Fecha estimada de inicio,Fecha real de inicio,Fecha culminación estimada de la obra,Fecha de paralización,Latitud,Longitud
Transporte,AEROPUERTO INTERNACIONAL DE BARINAS,Paralizada,0.0,0.0,Estado Barinas,Cruz Paredes,"Sector Tinajas- Chorrerón, Caserío Chorreón, a un km de la autopista José Antonio Páez",Más de 1.000.001,Ministerio de Infraestructura,Isidro Rondón,Consorcio de Vialidad Sucre y Alba Bolivariana (Convialba),700,Si,46,2008.0,S/I,2011 - 2013,S/I,8.8841985,-70.26112074407582
Transporte,AMPLIACIÓN Y MEJORAS DEL AEROPUERTO JACINTO LARA,Paralizada,30.0,0.0,Estado Lara,Iribarren,"2JWR+C6F, Avenida La Landaeta, Barquisimeto 3001",Más de 1.000.001,Bolivariana de Aeropuertos S.A. (BAER) / Ministerio de Transporte Acuático y Aéreo,Alcides Montilla Marín,S/I,465,S/I,0,2014.0,2014,2016,S/I,10.1232167,-69.40874859322726
Transporte,ASTILLERO NAVAL NORORIENTAL «ASTIALBA»,Paralizada,18.81,0.0,Estado Sucre,Cruz Salmerón Acosta,Península de Araya,Entre 100.001 y 1.000.000,S/I,S/I,Andrade Gutiérrez C.A.,1290,S/I,0,2005.0,S/I,2015,S/I,10.605968950000001,-64.0074263896344
Transporte,CONSTRUCCIÓN DE LÍNEA 2 DEL METRO DE MARACAIBO,Con recursos desembolsados - no iniciada,0.0,0.0,Estado Zulia,Maracaibo/ San Francisco,Línea 2: Recorrido desde el este hacia el oeste de la ciudad.,Entre 5.001 y 100.000,"Metro de Maracaibo, C.A. / Ministerio de Transporte Terrestre",Haiman El Troudi,S/I,0,Si,252,,S/I,"Tentativamente, en 2015 (proyecto original de la L2).",S/I,10.5388269,-71.6416717
Transporte,FERROCARRIL PUERTO CABELLO – BARQUISIMETO (REHABILITACIÓN),Con recursos desembolsados - no iniciada,85.0,0.0,Estado Carabobo,Puerto Cabello/ Iribarren,S/I,Más de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),S/I,Yankuang Group Corporation LTD/ Ferroviaria Latinoamericana (Ferrolasa),0,Si,268,2004.0,S/I,2008,S/I,10.47306,-68.0125
Transporte,"FERROCARRIL CENTRO-SUR, TRAMO CHAGUARAMAS, LAS MERCEDES DEL LLANO, CABRUTA",Paralizada,20.83,0.0,Estado Guárico,Chaguaramas/ Las Mercedes del Llano,"Estaciones: Chaguaramas, Las Mercedes, El Mejo, Santa Rita, Arrecife y Cabruta",Entre 100.001 y 1.000.000,Instituto de Ferrocarriles del Estado (IFE),Franklin Pérez,Consorcio Grupo Contuy / Astaldi S.P.A / Ghella Spa Sucursal Venezuela,750,S/I,0,2008.0,S/I,2013,S/I,9.201203,-66.316468
Transporte,"FERROCARRIL CENTRO-SUR, TRAMO SAN JUAN DE LOS MORROS, DOS CAMINOS, CALABOZO, SAN FERNANDO DE APURE",Paralizada,17.25,0.0,Estado Apure,San Fernando de Apure/ San Juan de los Morros/ Dos Caminos/ Calabozo,San Fernando de Apure,Más de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),Franklin Pérez,Consorcio Grupo Contuy / Astaldi S.P.A / Ghella Spa Sucursal Venezuela,1500,Si,291,2008.0,S/I,2013,S/I,7.88782,-67.47236
Transporte,FERROCARRIL NORTE LLANERO EMILIO ARÉVALO CEDEÑO,Paralizada,28.67,0.0,Estado Anzoátegui,Aragua de Barcelona/ Anaco/ Valle de la Pascua/ Tinaco/ El Pao/ Dos Caminos/ El Sombrero/ Tucupido/ Zaraza/ Chaguaramas,N/A,Más de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),Franklin Pérez,China Railway International Group (CREC) /China Railway Engineering Corporation / China Railway Engineering Corporation Venezuela,8084,S/I,0,2009.0,S/I,2012,S/I,9.45588,-64.82928
Transporte,LÍNEA 2 METRO DE VALENCIA,Paralizada,47.0,0.0,Estado Carabobo,Valencia,Av. Bolívar norte,Entre 5.001 y 100.000,Ministerio de Transporte Terrestre,Haiman El Troudi,Consorcio Ghella Sogene Dragados FCC - Otipsa,9218,Si,194,2007.0,Octubre 2011,S/I,2017,10.170026,-68.0003987
Transporte,METRO CARACAS- GUARENAS- GUATIRE 1,Paralizada,26.7,56.99,Estado Miranda,Ambrosio Plaza/ Zambrano,Guarenas-Guatire,Entre 100.001 y 1.000.000,"Metro de Caracas, C.A.",Gustavo González López,"Constructora Norberto Odebrecht, C.A.",4915,Si,692,2007.0,16/03/2007,1era 31/12/ 2013 / 2da Sin información / 3er 05/11/2019,S/I,10.47027,-66.61934
Transporte,METRO DE CARACAS LÍNEA 5,Paralizada,62.0,0.0,Distrito Capital,Libertador / Chacao,"Zona Rental, de Plaza Venezuela, pasando por las estaciones de Bello Monte, Tamanaco, Bello Campo y Miranda.",Entre 5.001 y 100.000,"Metro de Caracas, C.A.",M/G Ejército Gustavo González López,"Constructora Norberto Odebrecht, C.A.",5901,Si,0,2007.0,S/I,17/09/2011,S/I,10.4967393,-66.8705071
Transporte,METRO DE LOS TEQUES LÍNEA 2,Paralizada,76.39,0.0,Estado Miranda,Guaicaipuro,Los Teques,Entre 100.001 y 1.000.000,"Metro de Caracas, C.A.",Gustavo González López,"Constructora Norberto Odebrecht, C.A.",4021,Si,758,2007.0,S/I,1era 30/11/2012 / 2da 31/07/2019,S/I,10.3461538,-67.0427509
Transporte,METROCABLE MARICHE / LA DOLORITA,Paralizada,76.39,53.66,Distrito Capital,Sucre,"Carr. Petare, Caracas 1073, Distrito Capital",Entre 100.001 y 1.000.000,"Metro de Caracas, C.A. / Ministerio de Transporte Terrestre",Haiman El Troudi,"Constructora Norberto Odebrecht, C.A.",2118,Si,116,2009.0,28/09/2009,1era 28/02/2013 / 2da 17/11/2015 / 3era 03/01/2017,S/I,10.46607,-66.76718
Transporte,REHABILITACIÓN LÍNEA 1 METRO DE CARACAS,Paralizada,90.0,47.86,Distrito Capital,Libertador,"Estaciones Propatria y Palo Verde, fue la primera línea en ser construida",Entre 100.001 y 1.000.000,"Metro de Caracas, C.A.",S/I,"Consorcio CSM (CAF/ Constructora Hispánica, Cobra y Dimetronic) / Acentia Corporación Venezolana, C.A.",2730,Si,802,2009.0,2009,2012,S/I,10.5010211,-66.9602804
Transporte,SISTEMA BUS DE TRÁNSITO RÁPIDO (BTR) «BATALLA DE SAN FÉLIX»,Paralizada,60.0,0.0,Estado Bolívar,Caroní,Ciudad Guayana,Entre 0-5.000,Gobernación del estado Bolívar / Ministerio de Transporte Terrestre,Haiman El Troudi,"Elicar 2001, C.A.",120,S/I,0,,S/I,4 de diciembre de 2015,S/I,8.2865982,-62.6347373
Transporte,"CONSTRUCCIÓN DE LA ESTACIÓN CENTRAL SIMÓN BOLÍVAR – ECSB (NUEVO TERMINAL DE BARQUISIMETO), CONSTRUCCIÓN CANAL DE CIRULACIÓN EXCLUSIVA Y PARADAS, ADQUISICIÓN DE UNIDADES, EQUIPOS DE GENERACIÓN ELECTRICA.",Operativa sin concluir las obras,50.0,0.0,Estado Lara,Iribarren,Ciudad de Barquisimeto. Estación Central Simón bolívar en la Av. Florencio Jiménez,Entre 5.001 y 100.000,Gobernación del estado Lara / Sistema de Transporte Masivo de Barquisimeto C.A. (Transbarca) / Ministerio de Infraestructura,Henry Falcón/Oswaldo Rojas /Ramón Carrizales Rengifo,Unión Temporal de Empresas (UTE)-Barquitrans (Constructora Dycven S.A. (DYCVENSA)/Compañía Anónima Venezolana de Inversiones y Construcciones Clerico (VINCCLER)/ Siemens/ Esisa,597,Si,300,2005.0,14/09/2013,Inicial 2006. Fecha reprogramada 2009,"2007: 1era paralización por retrasos y fallas. Marzo 2008: reinicio de obra bajo dirección gobierno estadal, nacional y municipal.",10.1232167,-69.40874859322726
